 Wed, 24 Jan 2018 11:50:58   5.630300 5.404100  4.839900 24.876500  25.939700 44.070200  5.185500 5.244700  7.622200 4.770700  
 Wed, 24 Jan 2018 11:51:03   5.628100 5.430000  4.840000 24.894400  25.974800 44.236400  5.185800 5.244500  7.621900 4.771000  
 Wed, 24 Jan 2018 11:51:08   5.629400 5.382600  4.840000 24.911500  26.023200 44.398000  5.186000 5.244500  7.621700 4.771000  
 Wed, 24 Jan 2018 11:51:13   5.627800 5.396900  4.840000 24.928300  26.104700 44.559200  5.186100 5.245800  7.621600 4.771100  
 Wed, 24 Jan 2018 11:51:18   5.633000 5.360600  4.840000 24.944400  26.183100 44.713900  5.186300 5.246600  7.621300 4.771300  
 Wed, 24 Jan 2018 11:51:23   5.627600 5.399600  4.840100 24.959500  26.259200 44.869000  5.186500 5.246600  7.621000 4.771600  
 Wed, 24 Jan 2018 11:51:28   5.622000 5.386900  4.840100 24.974500  26.333200 45.019300  5.186700 5.247200  7.620700 4.771600  
 Wed, 24 Jan 2018 11:51:33   5.623000 5.409700  4.840200 24.988900  26.405400 45.181400  5.186900 5.247500  7.620500 4.771800  
 Wed, 24 Jan 2018 11:51:38   5.619300 5.356300  4.840200 25.004500  26.474800 45.328500  5.187100 5.247800  7.620300 4.771900  
 Wed, 24 Jan 2018 11:51:43   5.619400 5.388800  4.840200 25.026900  26.542200 45.470100  5.187300 5.247800  7.620100 4.772200  
 Wed, 24 Jan 2018 11:51:48   5.629600 5.383300  4.840300 25.047600  26.607200 45.611600  5.187500 5.247500  7.619800 4.772200  
 Wed, 24 Jan 2018 11:51:53   5.623200 5.374700  4.840300 25.068800  26.670300 45.750400  5.187700 5.247400  7.619500 4.772600  
 Wed, 24 Jan 2018 11:51:58   5.619800 5.393700  4.840200 25.088500  26.732500 45.885900  5.187900 5.247500  7.619200 4.772600  
 Wed, 24 Jan 2018 11:52:03   5.622300 5.418200  4.840200 25.108000  26.792600 46.018500  5.188100 5.247900  7.618900 4.772900  
 Wed, 24 Jan 2018 11:52:08   5.620600 5.379800  4.840300 25.126900  26.851400 46.149900  5.188300 5.248200  7.618800 4.772800  
 Wed, 24 Jan 2018 11:52:13   5.620900 5.412900  4.840400 25.144900  26.907500 46.275700  5.188400 5.248600  7.618500 4.773100  
 Wed, 24 Jan 2018 11:52:18   5.620100 5.390000  4.840600 25.162100  26.962100 46.404300  5.188600 5.249200  7.618100 4.773100  
 Wed, 24 Jan 2018 11:52:23   5.626100 5.425600  4.840600 25.179100  27.016700 45.773100  5.188800 5.300600  5.938600 4.773300  
 Wed, 24 Jan 2018 11:52:28   5.625400 5.402400  4.840700 25.197400  27.075100 45.179000  5.189100 5.307000  5.398100 4.773600  
 Wed, 24 Jan 2018 11:52:33   5.625200 5.383100  4.840800 25.213400  27.128600 45.340600  5.189400 5.307700  5.213900 4.774300  
 Wed, 24 Jan 2018 11:52:38   5.622200 5.369800  4.840800 25.228500  27.179500 45.489000  5.189900 5.308400  5.211600 4.774900  
 Wed, 24 Jan 2018 11:52:43   5.624900 5.375100  4.841000 25.243300  27.227600 45.628900  5.190300 5.308800  5.139800 4.775600  
 Wed, 24 Jan 2018 11:52:48   5.615700 5.385700  4.840900 25.258100  27.274400 45.766600  5.190800 5.308700  5.079900 4.776400  
 Wed, 24 Jan 2018 11:52:53   5.619500 5.399100  4.841200 25.271900  27.319700 45.899400  5.191400 5.308300  5.031500 4.777000  
 Wed, 24 Jan 2018 11:52:58   5.621500 5.396900  4.841500 25.285500  27.363200 46.032300  5.191900 5.307700  4.992100 4.777800  
 Wed, 24 Jan 2018 11:53:03   5.618300 5.436600  4.841700 25.298500  27.406900 46.159600  5.192500 5.308000  4.955000 4.778400  
 Wed, 24 Jan 2018 11:53:08   5.622800 5.374300  4.841700 25.311400  27.448400 46.286300  5.193100 5.307900  4.922500 4.779000  
 Wed, 24 Jan 2018 11:53:13   5.620200 5.400500  4.841900 25.323700  27.489300 46.409100  5.193800 5.306700  4.893600 4.779600  
 Wed, 24 Jan 2018 11:53:18   5.623200 5.394300  4.842100 25.335600  27.527900 46.532000  5.194400 5.305500  4.864600 4.780400  
 Wed, 24 Jan 2018 11:53:23   5.623500 5.413100  4.842300 25.347300  27.566600 46.652900  5.194900 5.303900  4.838300 4.780800  
 Wed, 24 Jan 2018 11:53:28   5.619000 5.382900  4.842500 25.358800  27.603200 46.766600  5.195500 5.303700  4.814700 4.781600  
 Wed, 24 Jan 2018 11:53:33   5.617700 5.391600  4.842600 25.369500  27.639700 46.882700  5.196100 5.303900  4.794500 4.782100  
 Wed, 24 Jan 2018 11:53:38   5.619300 5.367800  4.842800 25.380100  27.675300 46.999100  5.196700 5.302800  4.772900 4.782700  
 Wed, 24 Jan 2018 11:53:43   5.616200 5.387100  4.843000 25.390300  27.709300 47.106900  5.197200 5.301800  4.752200 4.783200  
 Wed, 24 Jan 2018 11:53:48   5.617300 5.398700  4.843200 25.400500  27.742900 47.219100  5.197700 5.300900  4.734100 4.783900  
 Wed, 24 Jan 2018 11:53:53   5.614700 5.413100  4.843400 25.410100  27.775800 47.328000  5.198200 5.300600  4.716600 4.784300  
 Wed, 24 Jan 2018 11:53:58   5.620500 5.393900  4.843600 25.419700  27.807600 47.435400  5.198700 5.300500  4.700000 4.784900  
 Wed, 24 Jan 2018 11:54:03   5.623500 5.395900  4.843700 25.428800  27.839100 47.537600  5.199200 5.299900  4.684100 4.785200  
 Wed, 24 Jan 2018 11:54:08   5.617500 5.394300  4.843900 25.438000  27.868900 47.643100  5.199600 5.299100  4.668200 4.785900  
 Wed, 24 Jan 2018 11:54:13   5.616400 5.382200  4.844100 25.446600  27.898400 47.742100  5.200000 5.298400  4.652700 4.786400  
 Wed, 24 Jan 2018 11:54:18   5.618100 5.398200  4.844400 25.455200  27.926500 47.843700  5.200400 5.297600  4.638600 4.786700  
 Wed, 24 Jan 2018 11:54:23   5.611300 5.388000  4.844500 25.463500  27.953600 47.942500  5.200900 5.296600  4.623900 4.787300  
 Wed, 24 Jan 2018 11:54:28   5.619600 5.381400  4.844800 25.471300  27.981100 48.038700  5.201200 5.296200  4.610600 4.787700  
 Wed, 24 Jan 2018 11:54:33   5.618700 5.397300  4.844900 25.478800  28.006900 48.133900  5.201600 5.295600  4.597500 4.788100  
 Wed, 24 Jan 2018 11:54:38   5.616400 5.370800  4.845000 25.486300  28.035300 48.229300  5.202000 5.294900  4.584800 4.788400  
 Wed, 24 Jan 2018 11:54:43   5.616300 5.381400  4.845400 25.493900  28.060200 48.319900  5.202300 5.294400  4.572200 4.788900  
 Wed, 24 Jan 2018 11:54:48   5.619600 5.428600  4.845500 25.500800  28.084200 48.410000  5.202700 5.293900  4.559900 4.789200  
 Wed, 24 Jan 2018 11:54:53   5.618900 5.389400  4.845500 25.507300  28.107700 48.500600  5.203000 5.293900  4.549300 4.789400  
 Wed, 24 Jan 2018 11:54:58   5.616300 5.400800  4.845700 25.514100  28.130200 48.589100  5.203300 5.294000  4.538800 4.789900  
 Wed, 24 Jan 2018 11:55:03   5.610600 5.377900  4.846000 25.520700  28.152600 48.673200  5.203700 5.293800  4.527900 4.790300  
 Wed, 24 Jan 2018 11:55:08   5.612800 5.400200  4.846200 25.527200  28.174700 48.763800  5.204000 5.293200  4.517900 4.790800  
 Wed, 24 Jan 2018 11:55:13   5.616200 5.392600  4.846100 25.533200  28.195900 48.846100  5.204300 5.292400  4.507100 4.791200  
 Wed, 24 Jan 2018 11:55:18   5.614600 5.453600  4.846300 25.539000  28.216700 48.929800  5.204600 5.291400  4.495900 4.791400  
 Wed, 24 Jan 2018 11:55:23   5.611700 5.377700  4.846500 25.544900  28.236100 49.010100  5.204800 5.290500  4.485600 4.791800  
 Wed, 24 Jan 2018 11:55:28   5.610400 5.401400  4.846900 25.550500  28.255400 49.092800  5.205100 5.290100  4.475800 4.792300  
 Wed, 24 Jan 2018 11:55:33   5.623100 5.376100  4.846900 25.556300  28.275000 49.172300  5.205400 5.289600  4.465800 4.792400  
 Wed, 24 Jan 2018 11:55:38   5.614700 5.394300  4.847100 25.561700  28.293400 49.252300  5.205600 5.288400  4.455600 4.792600  
 Wed, 24 Jan 2018 11:55:43   5.608600 5.387600  4.847400 25.566800  28.311500 49.330300  5.205900 5.288100  4.446900 4.793000  
 Wed, 24 Jan 2018 11:55:48   5.616200 5.491700  4.847500 25.571700  28.329200 49.405800  5.206100 5.287900  4.438200 4.793100  
 Wed, 24 Jan 2018 11:55:53   5.636100 5.428600  4.848100 25.576600  28.343500 49.483800  5.206400 5.287600  4.429600 4.793800  
 Wed, 24 Jan 2018 11:55:58   5.623100 5.397900  4.848100 25.581500  28.362800 49.556400  5.206600 5.287900  4.422400 4.793800  
 Wed, 24 Jan 2018 11:56:03   5.618500 5.370200  4.848000 25.586100  28.379500 49.632100  5.206800 5.288000  4.414600 4.794200  
 Wed, 24 Jan 2018 11:56:08   5.614100 5.404900  4.848100 25.590800  28.396100 49.706800  5.207100 5.287500  4.406300 4.794600  
 Wed, 24 Jan 2018 11:56:13   5.613900 5.397700  4.848200 25.595000  28.412000 49.775600  5.207300 5.287300  4.399300 4.794600  
 Wed, 24 Jan 2018 11:56:18   5.609500 5.414000  4.848600 25.599500  28.426700 49.847300  5.207500 5.287300  4.392600 4.794900  
 Wed, 24 Jan 2018 11:56:23   5.614100 5.393700  4.848600 25.603300  28.441400 49.916600  5.207700 5.286800  4.385900 4.795200  
 Wed, 24 Jan 2018 11:56:28   5.622800 5.394700  4.848900 25.607500  28.456400 49.986500  5.207900 5.287400  4.380300 4.795300  
 Wed, 24 Jan 2018 11:56:33   5.612900 5.383500  4.848900 25.611500  28.470500 50.060800  5.208100 5.287100  4.374200 4.795800  
 Wed, 24 Jan 2018 11:56:38   5.610500 5.407300  4.849000 25.615300  28.484100 50.128400  5.208300 5.286400  4.367800 4.796100  
 Wed, 24 Jan 2018 11:56:43   5.619100 5.401500  4.849200 25.619100  28.497900 50.194400  5.208500 5.286400  4.361900 4.796000  
 Wed, 24 Jan 2018 11:56:48   5.608400 5.401400  4.849300 25.622600  28.510100 50.259700  5.208700 5.286000  4.356100 4.796500  
 Wed, 24 Jan 2018 11:56:53   5.621200 5.388700  4.849600 25.626200  28.523000 50.322900  5.208900 5.284900  4.349400 4.796700  
 Wed, 24 Jan 2018 11:56:58   5.615100 5.393900  4.849700 25.629300  28.534800 50.384200  5.209100 5.284600  4.343500 4.796700  
 Wed, 24 Jan 2018 11:57:03   5.618100 5.370600  4.849900 25.632800  28.547900 50.447400  5.209300 5.283800  4.337700 4.797200  
 Wed, 24 Jan 2018 11:57:08   5.608000 5.406600  4.850200 25.636400  28.559700 50.508600  5.209400 5.282600  4.331000 4.797400  
 Wed, 24 Jan 2018 11:57:13   5.613200 5.409000  4.850200 25.639300  28.570300 50.568400  5.209600 5.282500  4.325700 4.797400  
 Wed, 24 Jan 2018 11:57:18   5.617900 5.404100  4.850500 25.642200  28.581600 50.629500  5.209800 5.282200  4.320800 4.797600  
 Wed, 24 Jan 2018 11:57:23   5.614600 5.391600  4.850500 25.645100  28.592500 50.687000  5.209900 5.281400  4.314800 4.797900  
 Wed, 24 Jan 2018 11:57:28   5.615000 5.382800  4.850600 25.647900  28.603100 50.745600  5.210100 5.281000  4.309700 4.798100  
 Wed, 24 Jan 2018 11:57:33   5.615500 5.393900  4.850700 25.651000  28.614100 50.806200  5.210200 5.280600  4.304700 4.798300  
 Wed, 24 Jan 2018 11:57:38   5.620700 5.385200  4.850700 25.653600  28.623100 50.859500  5.210400 5.280500  4.299800 4.798700  
 Wed, 24 Jan 2018 11:57:43   5.616600 5.395600  4.850900 25.655700  28.633000 50.917600  5.210500 5.280600  4.295300 4.798500  
 Wed, 24 Jan 2018 11:57:48   5.611400 5.402800  4.851100 25.658500  28.642200 50.973200  5.210600 5.280000  4.290100 4.798700  
 Wed, 24 Jan 2018 11:57:53   5.613500 5.387200  4.851200 25.661000  28.652200 51.026400  5.210800 5.279700  4.285400 4.799100  
 Wed, 24 Jan 2018 11:57:58   5.621700 5.375400  4.851400 25.663200  28.661400 51.079200  5.210900 5.279600  4.281100 4.799000  
 Wed, 24 Jan 2018 11:58:03   5.626500 5.383400  4.851600 25.665200  28.671000 51.133500  5.211100 5.279100  4.276400 4.799500  
 Wed, 24 Jan 2018 11:58:08   5.615700 5.418800  4.851700 25.667400  28.679800 51.189400  5.211200 5.278500  4.271400 4.799600  
 Wed, 24 Jan 2018 11:58:13   5.617200 5.403400  4.851700 25.669500  28.687400 51.240300  5.211300 5.278300  4.267200 4.799500  
 Wed, 24 Jan 2018 11:58:18   5.613700 5.409900  4.852000 25.671400  28.695900 51.294100  5.211400 5.278500  4.263300 4.799800  
 Wed, 24 Jan 2018 11:58:23   5.611700 5.379200  4.852100 25.673200  28.704700 51.341100  5.211500 5.278400  4.259400 4.799600  
 Wed, 24 Jan 2018 11:58:28   5.606400 5.389400  4.852300 25.674700  28.712100 51.393100  5.211600 5.278300  4.255400 4.800200  
 Wed, 24 Jan 2018 11:58:33   5.616700 5.386800  4.852400 25.676200  28.719900 51.446200  5.211700 5.278500  4.251500 4.799900  
 Wed, 24 Jan 2018 11:58:38   5.609000 5.402400  4.852500 25.677400  28.726800 51.489200  5.211900 5.278200  4.247700 4.800400  
 Wed, 24 Jan 2018 11:58:43   5.613700 5.387800  4.852600 25.678400  28.734900 51.539400  5.212000 5.278300  4.244400 4.800300  
 Wed, 24 Jan 2018 11:58:48   5.606700 5.402600  4.852800 25.679100  28.742300 51.587100  5.212100 5.278900  4.241400 4.800600  
 Wed, 24 Jan 2018 11:58:53   5.611000 5.393400  4.852800 25.679100  28.749200 51.636000  5.212200 5.279100  4.237900 4.801000  
 Wed, 24 Jan 2018 11:58:58   5.605200 5.413900  4.852800 25.678400  28.756600 51.681600  5.212300 5.278800  4.234300 4.800900  
 Wed, 24 Jan 2018 11:59:03   5.610400 5.379000  4.853000 25.674900  28.762600 51.729300  5.214700 5.279300  4.231500 4.800900  
 Wed, 24 Jan 2018 11:59:08   5.615000 5.411200  4.853000 25.166100  28.768600 51.773100  5.225800 5.279600  4.228400 4.801400  
 Wed, 24 Jan 2018 11:59:13   5.613900 5.392800  4.853200 24.816400  28.775000 51.818200  5.227000 5.278900  4.224300 4.801400  
 Wed, 24 Jan 2018 11:59:18   5.614600 5.392400  4.853300 24.703600  28.781400 51.864100  5.226000 5.277800  4.219900 4.801700  
 Wed, 24 Jan 2018 11:59:23   5.614500 5.382200  4.853400 24.671300  28.787000 51.906500  5.224600 5.276600  4.215200 4.801800  
 Wed, 24 Jan 2018 11:59:28   5.612500 5.395900  4.853600 24.673400  28.792300 51.948400  5.223800 5.276100  4.211400 4.801700  
 Wed, 24 Jan 2018 11:59:33   5.613000 5.388100  4.853600 24.689300  28.798500 51.993900  5.223400 5.276200  4.208600 4.801600  
 Wed, 24 Jan 2018 11:59:38   5.612800 5.398200  4.853700 24.710400  28.802700 52.034800  5.223300 5.276000  4.205300 4.802300  
 Wed, 24 Jan 2018 11:59:43   5.609300 5.386500  4.853900 24.733200  28.808700 52.077300  5.223400 5.275900  4.202000 4.802200  
 Wed, 24 Jan 2018 11:59:48   5.610400 5.395000  4.853800 24.755500  28.814900 52.117000  5.222800 5.275100  4.198100 4.802100  
 Wed, 24 Jan 2018 11:59:53   5.619700 5.370200  4.854000 24.777200  28.819700 52.157100  5.222100 5.274400  4.193900 4.802500  
 Wed, 24 Jan 2018 11:59:58   5.608300 5.388700  4.854100 24.798000  28.825200 52.196000  5.221900 5.274300  4.191200 4.802600  
 Wed, 24 Jan 2018 12:00:04   5.612900 5.389400  4.854100 24.817900  28.829700 52.235100  5.221900 5.274800  4.189200 4.802700  
 Wed, 24 Jan 2018 12:00:09   5.608600 5.396300  4.854200 24.837100  28.834300 52.274000  5.222400 5.275100  4.186100 4.802800  
 Wed, 24 Jan 2018 12:00:14   5.612000 5.406700  4.854300 24.855300  28.839500 52.313700  5.222600 5.274700  4.183300 4.802600  
