 Wed, 24 Jan 2018 11:50:35   4.052500 7.213900  
 Wed, 24 Jan 2018 11:50:37   4.051900 7.214000  
 Wed, 24 Jan 2018 11:50:39   4.052500 7.213900  
 Wed, 24 Jan 2018 11:50:40   4.052600 7.213800  
 Wed, 24 Jan 2018 11:50:42   4.051900 7.213800  
 Wed, 24 Jan 2018 11:50:44   4.052000 7.214000  
 Wed, 24 Jan 2018 11:50:46   4.052800 7.213900  
 Wed, 24 Jan 2018 11:50:48   4.052700 7.214000  
 Wed, 24 Jan 2018 11:50:49   4.051900 7.214100  
 Wed, 24 Jan 2018 11:50:51   4.052200 7.214000  
 Wed, 24 Jan 2018 11:50:53   4.052600 7.213900  
 Wed, 24 Jan 2018 11:50:55   4.051600 7.213800  
 Wed, 24 Jan 2018 11:50:57   4.050800 7.213800  
 Wed, 24 Jan 2018 11:50:58   4.051500 7.213700  
 Wed, 24 Jan 2018 11:51:00   4.051500 7.213600  
 Wed, 24 Jan 2018 11:51:02   4.050600 7.213600  
 Wed, 24 Jan 2018 11:51:04   4.050900 7.213600  
 Wed, 24 Jan 2018 11:51:06   4.051700 7.213500  
 Wed, 24 Jan 2018 11:51:08   4.051700 7.213600  
 Wed, 24 Jan 2018 11:51:09   4.051600 7.213800  
 Wed, 24 Jan 2018 11:51:11   4.052700 7.214000  
 Wed, 24 Jan 2018 11:51:13   4.053500 7.214000  
 Wed, 24 Jan 2018 11:51:15   4.053100 7.214200  
 Wed, 24 Jan 2018 11:51:17   4.053600 7.214400  
 Wed, 24 Jan 2018 11:51:18   4.054400 7.214300  
 Wed, 24 Jan 2018 11:51:20   4.054000 7.214300  
 Wed, 24 Jan 2018 11:51:22   4.053500 7.214600  
 Wed, 24 Jan 2018 11:51:24   4.054400 7.214700  
 Wed, 24 Jan 2018 11:51:26   4.054900 7.214600  
 Wed, 24 Jan 2018 11:51:27   4.054400 7.214700  
 Wed, 24 Jan 2018 11:51:29   4.054200 7.214900  
 Wed, 24 Jan 2018 11:51:31   4.055200 7.214900  
 Wed, 24 Jan 2018 11:51:33   4.055300 7.214800  
 Wed, 24 Jan 2018 11:51:35   4.054800 7.214900  
 Wed, 24 Jan 2018 11:51:36   4.055000 7.215100  
 Wed, 24 Jan 2018 11:51:38   4.055500 7.215100  
 Wed, 24 Jan 2018 11:51:40   4.055800 7.215000  
 Wed, 24 Jan 2018 11:51:42   4.054800 7.215000  
 Wed, 24 Jan 2018 11:51:44   4.054100 7.215000  
 Wed, 24 Jan 2018 11:51:45   4.054900 7.214900  
 Wed, 24 Jan 2018 11:51:47   4.054800 7.214800  
 Wed, 24 Jan 2018 11:51:49   4.054100 7.214800  
 Wed, 24 Jan 2018 11:51:51   4.054300 7.215000  
 Wed, 24 Jan 2018 11:51:53   4.054800 7.214700  
 Wed, 24 Jan 2018 11:51:54   4.054300 7.214700  
 Wed, 24 Jan 2018 11:51:56   4.053700 7.214800  
